姓名,作者,图片,简介
"Programming ColdFusion MX, 2nd Edition",Dave Ingram,http://www.allitebooks.com/wp-content/uploads/2019/04/Programming-ColdFusion-MX-2nd-Edition.jpg,"ColdFusion has enjoyed widespread use among developers as a powerful, easy-to-learn platform for creating and deploying dynamic web applications. ColdFusion’s simple, tag-based language makes it easy to handle basic tasks, like processing form data and querying databases, but the language is also powerful enough to deliver highly scalable,…"
Natural Language Processing in Action,Rob Brooks-Bilson,http://www.allitebooks.com/wp-content/uploads/2019/04/Natural-Language-Processing-in-Action.jpg,Natural Language Processing in Action is your guide to creating machines that understand human language using the power of Python with its ecosystem of packages dedicated to NLP and AI. About the Technology Recent advances in deep learning empower applications to understand text and speech with extreme accuracy. The…
"R Quick Syntax Reference, 2nd Edition",Cole Howard,http://www.allitebooks.com/wp-content/uploads/2019/04/R-Quick-Syntax-Reference-2nd-Edition.jpg,"This handy reference book detailing the intricacies of R updates the popular first edition by adding R version 3.4 and 3.5 features. Starting with the basic structure of R, the book takes you on a journey through the terminology used in R and the syntax required to make…"
SharePoint 2019 For Dummies,Hannes Hapke,http://www.allitebooks.com/wp-content/uploads/2019/04/SharePoint-2019-For-Dummies.jpg,All you need to know about SharePoint Online and SharePoint Server 2019 SharePoint is an enterprise portal server living under the Microsoft Office umbrella. It can be used as a local installation (on-premises) or an online service. The SharePoint Online service comes bundled with Office 365. You can…
A Developer’s Guide to Amazon SimpleDB,Hobson Lane,http://www.allitebooks.com/wp-content/uploads/2019/04/A-Developers-Guide-to-Amazon-SimpleDB.jpg,"The Complete Guide to Building Cloud Computing Solutions with Amazon SimpleDB Using SimpleDB, any organization can leverage Amazon Web Services (AWS), Amazon’s powerful cloud-based computing platform–and dramatically reduce the cost and resources associated with application infrastructure. Now, for the first time, there’s a complete developer’s guide to building…"
Machinima For Dummies,Margot Tollefson,http://www.allitebooks.com/wp-content/uploads/2019/04/Machinima-For-Dummies.jpg,"Use this book to learn how you can, at little or no expense, make virtually any movie using Machinima. The authors guide you from making your first Machinima movie to a grounding in both conventional filmmaking and Machinima technology that will let you tackle very complex film projects…."
React Native in Action,Ken Withee,http://www.allitebooks.com/wp-content/uploads/2019/04/React-Native-in-Action.jpg,"React Native in Action gives iOS, Android, and web developers the knowledge and confidence they need to begin building high-quality iOS and Android apps using the React Native framework. About the Technology React Native gives mobile and web developers the power of “and.” Write your app once and easily…"
"CompTIA A+ Complete Review Guide, 4th Edition",Rosemarie Withee,http://www.allitebooks.com/wp-content/uploads/2019/04/CompTIA-A-Complete-Review-Guide-4th-Edition.jpg,"A comprehensive step-by-step review for A+ certification, revised for the latest exams The CompTIA A+ Complete Review Guide: Exam 220-1001 and Exam 220-1002, Fourth Edition is an ideal preparation tool to help you ace the exam and get certified. The must-have companion to the CompTIA A+ Complete Study Guide, this book provides…"
OpenNebula 3 Cloud Computing,Giovanni Toraldo,http://www.allitebooks.com/wp-content/uploads/2019/04/OpenNebula-3-Cloud-Computing-400x494.jpg,"OpenNebula is one of the most advanced and highly-scalable open source cloud computing toolkits. If you ever wanted to understand what Cloud Computing is and how to realize it, or if you need a handy way to manage your messy infrastructure in a simple and coherent manner, this…"
The Debian System,Martin F. Krafft,http://www.allitebooks.com/wp-content/uploads/2019/04/The-Debian-System.jpg,"The Debian GNU/Linux operating system approaches Linux system administration differently than other popular Linux distributions, favoring text-based configuration mechanisms over graphical user interfaces (GUIs). Debian may appear simplistic and even slightly outdated, but it is actually very robust, scalable, and secure. Debian’s open development cycle and strict quality…"
WebGL Beginner’s Guide,Brandon Jones,http://www.allitebooks.com/wp-content/uploads/2019/04/WebGL-Beginners-Guide-400x494.jpg,"WebGL is a new web technology that brings hardware-accelerated 3D graphics to the browser without installing additional software. As WebGL is based on OpenGL and brings in a new concept of 3D graphics programming to web development, it may seem unfamiliar to even experienced Web developers. Packed with…"
SAS For Dummies,Diego Cantor,http://www.allitebooks.com/wp-content/uploads/2019/04/SAS-For-Dummies.jpg,"Created in partnership with SAS, this book explores SAS, a business intelligence software that can be used in any business setting or enterprise for data delivery, reporting, data mining, forecasting, statistical analysis, and more SAS employee and technologist Stephen McDaniel combines real-world expertise and a friendly writing style…"
Flash CS4 For Dummies,Chris Hemedinger,http://www.allitebooks.com/wp-content/uploads/2019/04/Flash-CS4-For-Dummies.jpg,"With Adobe Flash CS4 For Dummies as your guide, you can unleash your creativity and contribute to the “Flash”-iest showcase of dynamic content: the Web! You’ll beecome acquainted with Flash CS4 and learn when to use this popular Web development tool. Plus, you’ll discover what you can create, from animation…"
Dreamweaver CS4 For Dummies,Stephen McDaniel,http://www.allitebooks.com/wp-content/uploads/2019/04/Dreamweaver-CS4-For-Dummies.jpg,"Whether you’re a seasoned pro or a Web design newbie, Dreamweaver CS4 For Dummies shows you the quickest, easiest way to get up to speed on Dreamweaver. You’ll be able to create professional, great-looking, user-friendly websites in no time at all. Take advantage of the new, more customizable interface, improved…"
The Go Programming Language Phrasebook,Ellen Finkelstein,http://www.allitebooks.com/wp-content/uploads/2019/04/The-Go-Programming-Language-Phrasebook.jpg,"The Go Programming Language Phrasebook Essential Go code and idioms for all facets of the development process This guide gives you the code “phrases” you need to quickly and effectively complete a wide variety of projects with Go, today’s most exciting new programming language. Tested, easy-to-adapt code examples…"
Programming in Go,Gurdy Leete,http://www.allitebooks.com/wp-content/uploads/2019/04/Programming-in-Go.jpg,"Your Hands-On Guide to Go, the Revolutionary New Language Designed for Concurrency, Multicore Hardware, and Programmer Convenience Today’s most exciting new programming language, Go, is designed from the ground up to help you easily leverage all the power of today’s multicore hardware. With this guide, pioneering Go programmer…"
OpenLayers Cookbook,Janine Warner,http://www.allitebooks.com/wp-content/uploads/2019/04/OpenLayers-Cookbook-400x493.jpg,"Data visualization and analysis has become an important task for many companies. Understanding the basic concepts of GIS and knowing how to visualize data on a map is a required ability for many professionals today. OpenLayers is a JavaScript library to load, display, and render maps from multiple…"
"Moodle 2 for Teaching 7-14 Year Olds Beginner’s Guide, 2nd Edition",David Chisnall,http://www.allitebooks.com/wp-content/uploads/2019/04/Moodle-2-for-Teaching-7-14-Year-Olds-Beginners-Guide-2nd-Edition-400x493.jpg,"Moodle is a very popular e-learning tool in universities and high schools. But what does it have to offer younger students who want a fun, interesting, interactive, and informative learning experience? Moodle empowers teachers to achieve all this and more and this book will show you how! Moodle…"
Practical Computer Vision with SimpleCV,Anthony Oliver,http://www.allitebooks.com/wp-content/uploads/2019/04/Practical-Computer-Vision-with-SimpleCV.jpg,"Learn how to build your own computer vision (CV) applications quickly and easily with SimpleCV, an open source framework written in Python. Through examples of real-world applications, this hands-on guide introduces you to basic CV techniques for collecting, processing, and analyzing streaming digital images. You’ll then learn how…"
Adobe Creative Suite 3 Web Premium All-in-One Desk Reference For Dummies,Katherine Scott,http://www.allitebooks.com/wp-content/uploads/2019/04/Adobe-Creative-Suite-3-Web-Premium-All-in-One-Desk-Reference-For-Dummies.jpg,"The future looks bright for Web developers! With Adobe Creative Suite 3 Web Premium, you now have fantastic tools that enable you to create a wide array of content and graphics to deploy on a Web site that is dynamic and easy to maintain. Adobe Creative Suite 3…"
Postfix: The Definitive Guide,Kurt Demaagd,http://www.allitebooks.com/wp-content/uploads/2019/04/Postfix.jpg,"at call for a certain amount of study. This book, with careful background explanations and generous examples, eases readers from the basic configuration to the full power of Postfix. It discusses the Postfix interfaces to various tools that round out a fully scalable and highly secure email system…."
Learn RStudio IDE,Nathan Oostendorp,http://www.allitebooks.com/wp-content/uploads/2019/04/Learn-RStudio-IDE.jpg,"Discover how to use the popular RStudio IDE as a professional tool that includes code refactoring support, debugging, and Git version control integration. This book gives you a tour of RStudio and shows you how it helps you do exploratory data analysis; build data visualizations with ggplot; and…"
Cython,Andy Cowitt,http://www.allitebooks.com/wp-content/uploads/2019/04/Cython.jpg,"Build software that combines Python’s expressivity with the performance and control of C (and C++). It’s possible with Cython, the compiler and hybrid programming language used by foundational packages such as NumPy, and prominent in projects including Pandas, h5py, and scikits-learn. In this practical guide, you’ll learn how…"
Linux Kernel in a Nutshell,Christopher Smith,http://www.allitebooks.com/wp-content/uploads/2019/04/Linux-Kernel-in-a-Nutshell.jpg,"Written by a leading developer and maintainer of the Linux kernel,Linux Kernel in a Nutshell is a comprehensiveoverview of kernel configuration and building, a critical task forLinux users and administrators. No distribution can provide a Linux kernel that meets all users’needs. Computers big and small have special requirements that…"
Civic Apps Competition Handbook,Damon Dean,http://www.allitebooks.com/wp-content/uploads/2019/04/Civic-Apps-Competition-Handbook.jpg,"Organize a Civic Apps Competition (CAC) in your city. This practical guide provides best practices for each phase of the process, based largely on the authors’ firsthand experience planning and managing Apps for Metro Chicago (A4MC). You’ll learn everything from setting goals and creating a budget to running…"
TCL / TK in a Nutshell,Jennifer Smith,http://www.allitebooks.com/wp-content/uploads/2019/04/TCL-TK-in-a-Nutshell.jpg,"The Tcl language and Tk graphical toolkit are simple and powerful building blocks for custom applications. The Tcl/Tk combination is increasingly popular because it lets you produce sophisticated graphical interfaces with a few easy commands, develop and change scripts quickly, and conveniently tie together existing utilities or programming…"
Pro Windows Embedded Compact 7,Kyle D. Dent,http://www.allitebooks.com/wp-content/uploads/2019/04/Pro-Windows-Embedded-Compact-7-400x493.jpg,"Windows Embedded Compact 7 is the natural choice for developing sophisticated, small-footprint devices for both consumers and the enterprise. For this latest version, a number of significant enhancements have been made, most notably the ability to run multi-core processors and address more than the 512 MB of memory…"
"Advanced Perl Programming, 2nd Edition",Matthew Campbell,http://www.allitebooks.com/wp-content/uploads/2019/04/Advanced-Perl-Programming-2nd-Edition.jpg,"With a worldwide community of users and more than a million dedicated programmers, Perl has proven to be the most effective language for the latest trends in computing and business. Every programmer must keep up with the latest tools and techniques. This updated version of Advanced Perl Programming from O’Reilly…"
RapidWeaver 5 Beginner’s Guide,Joe Workman,http://www.allitebooks.com/wp-content/uploads/2019/04/RapidWeaver-5-Beginners-Guide-400x493.jpg,"RapidWeaver allows users with any level of expertise to build beautiful and professional looking websites. The novice user will love the drag and drop, what you see is what you get interface. The advanced users will love that they can get down and dirty with some code when…"
Blockchain For Dummies 2nd Edition,Tiana Laurence,http://www.allitebooks.com/wp-content/uploads/2019/04/Blockchain-For-Dummies-2nd-Edition.jpg,"Unravel the mysteries of blockchains Blockchain technologies are disrupting some of the world’s biggest industries. Blockchain For Dummies provides a fast way to catch up with the essentials of this quickly evolving tech. Written by an author involved in founding and analyzing blockchain solutions, this book serves to help those…"
"Coding For Kids For Dummies, 2nd Edition",Camille McCue Ph.D,http://www.allitebooks.com/wp-content/uploads/2019/04/Coding-For-Kids-For-Dummies-2nd-Edition.jpg,"A guide for kids who want to learn coding Coding is quickly becoming an essential academic skill, right up there with reading, writing, and arithmetic. This book is an ideal way for young learners ages 8-13 who want more coding knowledge than you can learn in an hour,…"
Practical Shader Developmen,Kyle Halladay,http://www.allitebooks.com/wp-content/uploads/2019/04/Practical-Shader-Developmen.jpg,"It’s time to stop thinking that shaders are magical. You can use shaders to turn data into stunning visual effects, and get your hands dirty by building your own shader with this step-by-step introduction to shader development for game and graphics developers. Learn how to make shaders that…"
Customizing Dynamics 365,Sanjaya Yapa,http://www.allitebooks.com/wp-content/uploads/2019/04/Customizing-Dynamics-365.jpg,Gain an understanding of basic and advanced customizations in Dynamics 365 and learn how they can be effectively used to implement simple business requirements. This is a practical book for developers that explains the use of various Dynamics 365 features as well as use of advanced concepts such…
Unreal for Mobile and Standalone VR,Cornel Hillmann,http://www.allitebooks.com/wp-content/uploads/2019/04/Unreal-for-Mobile-and-Standalone-VR.jpg,"Apply the techniques needed to build VR applications for mobile and standalone head-mounted displays (HMDs) using the Unreal Engine. This book covers the entire VR ecosystem including production tools, Unreal engine, workflows, performance and optimization, and presents two fully-developed projects to reinforce what you’ve learned. Media designers, CG…"
A Tester’s Guide to .NET Programming,Joe Sweeney,http://www.allitebooks.com/wp-content/uploads/2019/04/A-Testers-Guide-to-.NET-Programming.jpg,"*Unlike its competitors, focuses solely on applied programming techniques for testers *Will appeal to both developers and testers alike; already popularized in classrooms worldwide for three years *Testing market is growing as more business adopt .NET technologies"
802.11n: A Survival Guide,Randal Root,http://www.allitebooks.com/wp-content/uploads/2019/04/802.11n-A-Survival-Guide.jpg,"Wireless has finally come of age. With a significant jump in throughput over previous standards, 802.11n is the first wireless technology that doesn’t trade speed for mobility, and users have stormed onto wireless networks with a passion. In this concise guide, Matthew Gast—chair of the IEEE group that…"
Taking Your Kindle Fire to the Max,Matthew S. Gast,http://www.allitebooks.com/wp-content/uploads/2019/04/Taking-Your-Kindle-Fire-to-the-Max-400x493.jpg,"You’ve just purchased a Kindle Fire. How do you set it up? How do you secure it? What can you do with it? In Taking Your Kindle Fire to the Max, you’ll learn how to set up email, social networking, videos, music, eBooks, contacts, calendar, and navigation. Once…"
Taking Your OS X Lion to the Max,Mark Rollins,http://www.allitebooks.com/wp-content/uploads/2019/04/Taking-Your-OS-X-Lion-to-the-Max-400x493.jpg,"The Mac has come a long way, and OS X Lion is the best version yet of Apple’s desktop and laptop operating system. Stable, powerful, and versatile, the Mac allows you to do everyday tasks with ease. Taking Your OS X Lion to the Max walks you through the awesome features and apps…"
Mastering LOB Development for Silverlight 5,Braulio Díez,http://www.allitebooks.com/wp-content/uploads/2019/04/Mastering-LOB-Development-for-Silverlight-5-400x494.jpg,"Microsoft Silverlight is fully established as a powerful tool for creating and delivering Rich Internet Applications and media experiences on the Web. This book will help you dive straight into utilizing Silverlight 5, which now more than ever is a top choice in the Enterprise for building Business…"
WordPress Plugin Development Cookbook,José Fernando Almoguera,http://www.allitebooks.com/wp-content/uploads/2019/04/WordPress-Plugin-Development-Cookbook-400x494.jpg,"WordPress is a popular, powerful, and open Content Management System. Learning to extend its core capabilities allows you to unleash its full potential, whether you’re an administrator who cannot find the right extension, or a developer with a great idea to enhance the platform for the community, or…"
Teach Yourself VISUALLY Photoshop Elements 13,Pablo Núñez Navarro,http://www.allitebooks.com/wp-content/uploads/2019/04/Teach-Yourself-VISUALLY-Photoshop-Elements-13.jpg,"The straightforward Photoshop Elements guide designed specifically for visual learners Teach Yourself VISUALLY Photoshop Elements 13 is your user-friendly guide to quickly start editing images like a pro. With full-color screenshots throughout, this highly visual book covers the most important features of Photoshop Elements, reinforcing foundational tasks and introducing…"
Managing Virtual Infrastructure with Veeam® ONE™,Rocío Serrano,http://www.allitebooks.com/wp-content/uploads/2019/04/Managing-Virtual-Infrastructure-with-Veeam-ONE-400x494.jpg,"Veeam® ONE™ virtual system monitoring applications enable IT support teams to proactively discover system issues before they arise, helping companies to sustain their current business needs and predict growth opportunities. Veeam® ONE™ provides effective protection and management of the entire virtual infrastructure that any major company needs in…"
Instant MapReduce Patterns – Hadoop Essentials How-to,Sebastian Stehle,http://www.allitebooks.com/wp-content/uploads/2019/04/Instant-MapReduce-Patterns-Hadoop-Essentials-How-to-400x493.jpg,"MapReduce is a technology that enables users to process large datasets and Hadoop is an implementation of MapReduce. We are beginning to see more and more data becoming available, and this hides many insights that might hold key to success or failure. However, MapReduce has the ability to…"
Enterprise Development with Flex,Yannick Lefebvre,http://www.allitebooks.com/wp-content/uploads/2019/04/Enterprise-Development-with-Flex.jpg,"If you want to use Adobe Flex to build production-quality Rich Internet Applications for the enterprise, this groundbreaking book shows you exactly what’s required. You’ll learn efficient techniques and best practices, and compare several frameworks and tools available for RIA development — well beyond anything you’ll find in…"
cPanel User Guide and Tutorial,Richard Wentk,http://www.allitebooks.com/wp-content/uploads/2019/04/cPanel-User-Guide-and-Tutorial.jpg,"A clear, complete guide to getting the most from cPanel. Anybody who has a web hosting account that provides cPanel, and who wants to get the most from this very powerful tool."
Visual Studio Code Distilled,Kevin L. Sapp,http://www.allitebooks.com/wp-content/uploads/2019/04/Visual-Studio-Code-Distilled.jpg,"Use Visual Studio Code to write and debug code quickly and efficiently on any platform, for any device, using any programming language, and on the operating system of your choice. Visual Studio Code is an open source and cross-platform development tool that focuses on code editing across a…"
HTML5 in Action,Srinath Perera,http://www.allitebooks.com/wp-content/uploads/2019/04/HTML5-in-Action.jpg,"HTML5 in Action provides a complete introduction to web development using HTML5. You’ll explore every aspect of the HTML5 specification through real-world examples and code samples. It’s much more than just a specification reference, though. It lives up to the name HTML5 in Action by giving you the practical, hands-on guidance…"
"Pro JSF and HTML5, 2nd Edition",Anatole Tartakovsky,http://www.allitebooks.com/wp-content/uploads/2019/04/Pro-JSF-and-HTML5-2nd-Edition-400x493.jpg,"Pro JSF and HTML5 shows you how to leverage the full potential of JavaServer Faces (JSF) and HTML5. This book is for Java developers who aspire to build sophisticated, enterprise-grade web experiences with HTML5-enabled JSF. Written by JSF experts and verified by established community figures, this book will…"
Professional SQL Server 2005 Performance Tuning,Arindam Sen,http://www.allitebooks.com/wp-content/uploads/2019/04/Professional-SQL-Server-2005-Performance-Tuning.jpg,"Written by a team of expert SQL users, this comprehensive resource approaches performance tuning from a new perspective by showing you a methodical scientific approach to diagnose performance problems. The book first walks you through how to discover bottlenecks when something is wrong and you’ll then learn how…"
Use Case Driven Object Modeling with UML,Christian Bolton,http://www.allitebooks.com/wp-content/uploads/2019/04/Use-Case-Driven-Object-Modeling-with-UML.jpg,"Diagramming and process are important topics in today’s software development world, as the UML diagramming language has come to be almost universally accepted. Yet process is necessary; by themselves, diagrams are of little use. Use Case Driven Object Modeling with UML – Theory and Practice combines the notation…"
"SQL For Dummies, 6th Edition",Douglas Hinson,http://www.allitebooks.com/wp-content/uploads/2019/04/SQL-For-Dummies-6th-Edition-400x500.jpg,"See how SQL interfaces with today’s environments Start building and using relational databases with SQL’s newest features The database may be the twenty-first century filing cabinet, but building one is a little more complex than sliding drawers into a metal box. With this book to guide you through…"
SharePoint 2010 development for dummies,Haidong Ji,http://www.allitebooks.com/wp-content/uploads/2019/04/SharePoint-2010-development-for-dummies.jpg,"A much-needed guide that shows you how to leverage SharePoint tools without writing a line of code! The great news about SharePoint is…you don’t need to be a seasoned .NET developer to develop custom functions for it. This book shows you how to use SharePoint Designer, Report Builder,…"
Dart: Up and Running,Joshua J. Jin,http://www.allitebooks.com/wp-content/uploads/2019/04/Dart-Up-and-Running.jpg,"Get moving with Dart, the development platform that helps you build high-performance HTML5 apps for the modern Web. With this guide, you’ll take a hands-on tour of the Dart language, libraries, and tools—including its editor and virtual machine—for developing structured, fast, and maintainable web apps that run on…"
Getting Started with Eclipse Juno,Justin Langford,http://www.allitebooks.com/wp-content/uploads/2019/04/Getting-Started-with-Eclipse-Juno-400x493.jpg,"Integrated Development Environments (IDEs) such as Eclipse are examples of tools that help developers by automating an assortment of software development-related tasks. By reading this book you will learn how to get Eclipse to automate common development tasks, which will give you a boost of productivity. Getting Started…"
HTTP/2 in Action,Michael Cape,http://www.allitebooks.com/wp-content/uploads/2019/04/HTTP-2-in-Action.jpg,"HTTP/2 in Action is a complete guide to HTTP/2, one of the core protocols of the web. Because HTTP/2 has been designed to be easy to transition to, including keeping it backwards compatible, adoption is rapid and expected to increase over the next few years. Concentrating on practical matters,…"
The IoT Hacker’s Handbook,Paul A. Mestemaker,http://www.allitebooks.com/wp-content/uploads/2019/04/The-IoT-Hackers-Handbook.jpg,"Take a practioner’s approach in analyzing the Internet of Things (IoT) devices and the security issues facing an IoT architecture. You’ll review the architecture’s central components, from hardware communication interfaces, such as UARTand SPI, to radio protocols, such as BLE or ZigBee. You’ll also learn to assess a…"
Learn Microsoft Visual Studio App Center,Steven Wort,http://www.allitebooks.com/wp-content/uploads/2019/04/Learn-Microsoft-Visual-Studio-App-Center.jpg,"Use Visual Studio App Center with Xamarin Forms to set up a DevOps CI/CD pipeline, set up your mobile builds on either iOS or Android, set up Android and Apple certificates and provisioning profiles, distribute your app to your developers and testers, capture analytics and crashes from your users, communicate…"
PowerShell and Python Together,Don Rosenberg,http://www.allitebooks.com/wp-content/uploads/2019/04/PowerShell-and-Python-Together.jpg,"Bring together the Python programming language and Microsoft’s PowerShell to address digital investigations and create state-of-the-art solutions for administrators, IT personnel, cyber response teams, and forensic investigators. You will learn how to join PowerShell’s robust set of commands and access to the internals of both the MS Windows…"
Apache Solr Search Patterns,Jayant Kumar,http://www.allitebooks.com/wp-content/uploads/2019/04/Apache-Solr-Search-Patterns-400x493.jpg,"Apache Solr is an open source search platform built on a Java library called Lucene. It serves as a search platform for many websites, as it has the capability of indexing and searching multiple websites to fetch desired results. We begin with a brief introduction of analyzers and…"
RxJava Essentials,Ivan Morgillo,http://www.allitebooks.com/wp-content/uploads/2019/03/RxJava-Essentials-400x493.jpg,Learn reactive programming to create awesome Android and Java apps About This Book Create interactive Android apps with Java Reactive Extensions Learn Reactive Programming through real-life examples that you can use in your Android app eat Android concurrency and threading issues to take your apps to a new…
Professional Eclipse 3 for Java Developers,Berthold Daum,http://www.allitebooks.com/wp-content/uploads/2019/03/Professional-Eclipse-3-for-Java-Developers.jpg,Step-by-step guide that introduces novices to using all major features of Eclipse 3 Eclipse is an open source extensible integrated development environment (IDE) that helps Java programmers build best-of-breed integrated tools covering the whole software lifecycle-from conceptual modeling to deployment Eclipse is fast becoming the development platform of…
Oracle DBA Mentor,Brian Peasland,http://www.allitebooks.com/wp-content/uploads/2019/03/Oracle-DBA-Mentor.jpg,"New Oracle database administrators can get off the ground running. This book helps you develop the ability to think on your feet and move focus in an instant from arcane syntax details to broad, corporate issues. Along the way, you will see how to create your first database…"
"Pro Oracle Database 18c Administration, 3rd Edition",Darl Kuhn,http://www.allitebooks.com/wp-content/uploads/2019/03/Pro-Oracle-Database-18c-Administration.jpg,"Database administration isn’t about passing a certified exam, or about pointing and clicking your way through a crisis. Database administration is about applying the right solution at the right time, avoiding risk, and making robust choices that get you home each night in time for dinner with your…"
Network Warrior,Michelle Malcher,http://www.allitebooks.com/wp-content/uploads/2019/03/Network-Warrior.jpg,"Written by networking veteran with 20 years of experience, Network Warrior provides a thorough and practical introduction to the entire network infrastructure, from cabling to the routers. What you need to learn to pass a Cisco certification exam such as CCNA and what you need to know to survive in…"
"Pro VB 2008 and the .NET 3.5 Platform, 3rd Edition",Gary A. Donahue,http://www.allitebooks.com/wp-content/uploads/2019/03/Pro-VB-2008-and-the-.NET-3.5-Platform-3rd-Edition.jpg,"This book provides a complete A-to-Z reference for using VB with the .NET 2.0 platform and the .NET 3.0 extensions. It contains new chapters that explore the interactions between the existing framework and the new extensions, offering readers an edge when they evaluate and implement .NET 3.0 for…"
Google App Inventor,Andrew Troelsen,http://www.allitebooks.com/wp-content/uploads/2019/03/Google-App-Inventor-400x494.jpg,"The number of mobile apps has grown exponentially in the last two years. If you want to join the crowd, Google’s App Inventor is the easiest and best tool for you to get started with. It is a tool to create Android phone apps and uses a graphical…"
Cognitive Computing Recipes,Ralph Roberts,http://www.allitebooks.com/wp-content/uploads/2019/03/Cognitive-Computing-Recipes.jpg,"Solve your AI and machine learning problems using complete and real-world code examples. Using a problem-solution approach, this book makes deep learning and machine learning accessible to everyday developers, by providing a combination of tools such as cognitive services APIs, machine learning platforms, and libraries. Along with an…"
LEGO Wind Energy,Adnan Hashmi,http://www.allitebooks.com/wp-content/uploads/2019/03/LEGO-Wind-Energy.jpg,"​Build functioning wind turbines that generate electricity; we don’t mean LEGO models that look like miniature wind turbines. This book is for people who want to learn how real turbines work, and to build them using LEGO and Mindstorms EV3. You’ll find specific instructions on building, links to…"
Make Your Own Twine Games!,Anna Anthropy,http://www.allitebooks.com/wp-content/uploads/2019/03/Make-Your-Own-Twine-Games.jpg,"Bring your game ideas to life with Twine! Twine is a free online tool that lets anyone new to programming create their own interactive, story-based adventure games in a web page. In Make Your Own Twine Games!, game designer Anna Anthropy takes you step-by-step through the game development process,…"
